Sym,logFC,AveExpr,t,P.Value,adj.P.Val,B
ACVR1B,-0.141605477241958,10.8026553173891,-1.33854768124631,0.244223932684262,0.485991225046692,-6.10333245778632
UGT2B17,0.14160387924772,8.59099741597587,2.52766312177783,0.0579183831051381,0.247506714245197,-4.61600928791509
MAPKAPK5,-0.141525079233848,9.06697861500756,-1.56158018964467,0.185397540305944,0.421071135682977,-5.83725064696714
TAF15,0.141496994036336,10.0754485081458,1.2893580247394,0.259435201554372,0.503094301771827,-6.1598115337418
VPS45,0.141405628211404,9.35559770985981,0.955465624610489,0.387706473021774,0.626202712760675,-6.51287339668932
KIF20B,0.141391518654951,8.53045603563641,1.73925891630226,0.148823790444054,0.380991559918579,-5.61682542176502
SSB,0.141385562644889,10.2102705997576,1.0975548516883,0.327514613566719,0.569790630071812,-6.36992675824349
BTBD3,-0.141359385552022,8.71610940091938,-1.8605979598679,0.128182867666961,0.354308820013084,-5.4636719133232
PTH1R,0.141290315409988,9.3340451022409,1.41228421326947,0.223004368183861,0.462202333912865,-6.01702777252054
EIF1,-0.14126736404153,9.72309932760703,-2.16245854339144,0.0888840547138419,0.300977897158469,-5.07885369842272
PDGFRB,0.141257691281856,9.55257380445581,1.8815562266557,0.12493175474993,0.350395246639134,-5.43707601121667
RNF13,-0.141255103005593,9.03655169915866,-2.0894476666112,0.0970308460543606,0.313569243384089,-5.17207819875282
COX10,0.141218480290229,8.95819530630529,2.95067187578846,0.0361565417417253,0.202101067290436,-4.09592451842256
MYO5A,-0.141194872101938,8.8733924017886,-2.14814550718986,0.0904209366915053,0.302901222767694,-5.09712430714209
KIAA0586,0.141170054176527,9.17388368107565,2.81579741602547,0.041888286035486,0.214853014739011,-4.25931465851457
PYGO1,0.141119382132761,8.87888476120006,1.91873221833131,0.119376479716689,0.344141529354245,-5.38982334970294
KAZN,-0.141087280066397,9.86742405973218,-2.33834990136025,0.072151418571553,0.273946186859695,-4.85489728436714
GNAS,0.141082003878132,14.3850120455165,2.97068914919029,0.0353843470444422,0.200197237666632,-4.07189028105374
DIDO1,-0.141079344740609,9.10281977915593,-1.98962805078507,0.109493868058832,0.332187372318095,-5.29950239992668
COX5A,0.141077322549895,10.3320896096314,0.844388535060035,0.440930385074873,0.668995708978249,-6.61539769298615
CYBB,-0.141055187994455,8.80948545391877,-2.79072653058528,0.0430637271052522,0.217509529971029,-4.28995494407681
MYL1,-0.141044336366303,8.47186045744233,-2.88916571999289,0.0386519519920029,0.208212439979456,-4.17012595731022
NCK1,-0.141036586562564,9.04036644247153,-3.13473496534842,0.0297193679399753,0.185503446884903,-3.87712485157647
NPHP4,0.140928438855807,9.77397641827761,2.66373237697889,0.0496202649261929,0.229987143376105,-4.44636977486069
PARP3,0.140914784094406,9.35828778887067,2.07771894861375,0.0984130134878868,0.315416457195534,-5.1870567643168
MLLT4-AS1,0.140858620888359,8.78156552562551,1.6213142473938,0.172181724690988,0.407175001876422,-5.76379368575306
KLK3,0.14082603547474,8.91815535192467,1.69400682987678,0.15737672197913,0.390093002373846,-5.67347811342811
GCFC2,-0.140818589596259,9.08253423134989,-2.80424072853092,0.0424255479047925,0.215681954595208,-4.27342847638494
GRIK1,0.140774335694715,9.28061957594441,1.78758335742858,0.140217660493779,0.371653205022628,-5.55602287432758
SH2B2,0.140772902262444,9.81526136180574,2.52008432021703,0.0584242261575438,0.248336914123155,-4.62551378981188
ZNF536,0.140765151961377,8.85376475298521,2.73876008149629,0.0456208200165028,0.223203743680813,-4.35372137108146
KYNU,-0.140763694874558,10.9159608651286,-1.14452556970346,0.309492881882864,0.552426269270479,-6.32012479083715
PRMT2,0.140690637215725,8.62431480945196,2.91307335847419,0.037659407357228,0.206306183742476,-4.14122103198464
CREM,-0.140686961884542,8.69615233901528,-2.56068528272858,0.0557705917668788,0.243484240970463,-4.5746620603718
EIF2A,-0.140668528732746,8.81397297311087,-2.250656696458,0.0800178916652831,0.286504095527946,-4.96638962004519
MMRN1,0.14060783035537,8.82672078383365,2.94859959378026,0.0362375737390131,0.202395176218575,-4.09841590525728
MYL4,0.140602879710912,8.81688879768535,1.27354559250999,0.264511491148348,0.508268800350269,-6.17776455014856
LCK,0.140558521220722,9.11775735069689,1.92510609856292,0.118450484735469,0.342872285185268,-5.3817131364839
ARTN,0.140551248130874,9.60667689570106,2.13175802678249,0.0922159614929526,0.305628521712923,-5.11804700808387
RAD51AP1,0.140536075532133,8.78580426709388,2.87610180237137,0.0392068483871632,0.208945368506415,-4.18595374044285
TRPC1,0.140498878364332,8.76810608719551,2.56644046220428,0.0554054407108168,0.242576253949382,-4.56746713648461
ACSM3,-0.140497698359892,8.6615504841435,-2.47198692774528,0.061751389281721,0.254594121673901,-4.68595703049164
SCNN1D,0.140485354374661,10.1489643056238,1.57140981365021,0.183154756469514,0.419140720668316,-5.82521528577863
MFNG,0.140454461086232,9.83199622633221,1.56233046740726,0.185225387986095,0.421068870609434,-5.83633277505365
BRD8,0.140448531098755,9.05372215512007,2.35452000240583,0.0707957495827696,0.271515875898456,-4.83438682921594
CD44,0.140446568402423,9.14136925597819,2.42163243612399,0.0654617379559622,0.261710098016275,-4.74945326910901
TACC1,-0.140432391441129,10.0949022453916,-2.59009511127879,0.0539324125371066,0.240132130947133,-4.53793078284609
GRM2,0.140403623073048,10.2866359631793,1.54951440167563,0.188188117874981,0.424802373499416,-5.85199393777876
BCL10,-0.140403131845252,8.76129438251413,-2.22773651884985,0.0822253966726478,0.290025884236692,-4.99559066546314
TRADD,-0.140330802933134,10.1104907930988,-1.78896992253547,0.139978474308125,0.371527414807176,-5.55427415695858
POM121,0.140329992966885,10.177301205458,1.50066314794673,0.199920230987263,0.438266092920874,-5.91132725349646
NFASC,0.140327492684708,9.21029910537012,2.06868302539937,0.099492280406815,0.317456736759676,-5.19859603345212
